inventory_id,date_of_entry,item_name,stock_in,stock_used,remaining_stock,unit_cost,supplier_name
1,2025-01-01,Coffee,69,35,34,20,Default Supplier
2,2025-01-01,Tea,74,68,6,15,Default Supplier
3,2025-01-01,Sandwich,137,117,20,40,Default Supplier
4,2025-01-01,Burger,112,27,85,60,Default Supplier
5,2025-01-01,Juice,127,109,18,30,Default Supplier
6,2025-01-02,Coffee,97,93,4,20,Default Supplier
7,2025-01-02,Tea,145,81,64,15,Default Supplier
8,2025-01-02,Sandwich,120,54,66,40,Default Supplier
9,2025-01-02,Burger,100,37,63,60,Default Supplier
10,2025-01-02,Juice,63,44,19,30,Default Supplier
11,2025-01-03,Coffee,100,69,31,20,Default Supplier
12,2025-01-03,Tea,91,80,11,15,Default Supplier
13,2025-01-03,Sandwich,77,41,36,40,Default Supplier
14,2025-01-03,Burger,86,30,56,60,Default Supplier
15,2025-01-03,Juice,112,98,14,30,Default Supplier
16,2025-01-04,Coffee,95,72,23,20,Default Supplier
17,2025-01-04,Tea,116,104,12,15,Default Supplier
18,2025-01-04,Sandwich,115,103,12,40,Default Supplier
19,2025-01-04,Burger,148,132,16,60,Default Supplier
20,2025-01-04,Juice,145,89,56,30,Default Supplier
21,2025-01-05,Coffee,79,29,50,20,Default Supplier
22,2025-01-05,Tea,148,72,76,15,Default Supplier
23,2025-01-05,Sandwich,111,92,19,40,Default Supplier
24,2025-01-05,Burger,83,42,41,60,Default Supplier
25,2025-01-05,Juice,81,70,11,30,Default Supplier
26,2025-01-06,Coffee,148,87,61,20,Default Supplier
27,2025-01-06,Tea,135,75,60,15,Default Supplier
28,2025-01-06,Sandwich,56,46,10,40,Default Supplier
29,2025-01-06,Burger,97,20,77,60,Default Supplier
30,2025-01-06,Juice,133,100,33,30,Default Supplier
31,2025-01-07,Coffee,135,57,78,20,Default Supplier
32,2025-01-07,Tea,136,27,109,15,Default Supplier
33,2025-01-07,Sandwich,67,23,44,40,Default Supplier
34,2025-01-07,Burger,128,121,7,60,Default Supplier
35,2025-01-07,Juice,59,42,17,30,Default Supplier
36,2025-01-08,Coffee,80,31,49,20,Default Supplier
37,2025-01-08,Tea,87,58,29,15,Default Supplier
38,2025-01-08,Sandwich,66,21,45,40,Default Supplier
39,2025-01-08,Burger,148,145,3,60,Default Supplier
40,2025-01-08,Juice,80,23,57,30,Default Supplier
41,2025-01-09,Coffee,81,28,53,20,Default Supplier
42,2025-01-09,Tea,56,32,24,15,Default Supplier
43,2025-01-09,Sandwich,80,64,16,40,Default Supplier
44,2025-01-09,Burger,93,85,8,60,Default Supplier
45,2025-01-09,Juice,115,75,40,30,Default Supplier
46,2025-01-10,Coffee,84,35,49,20,Default Supplier
47,2025-01-10,Tea,99,85,14,15,Default Supplier
48,2025-01-10,Sandwich,90,49,41,40,Default Supplier
49,2025-01-10,Burger,56,44,12,60,Default Supplier
50,2025-01-10,Juice,128,23,105,30,Default Supplier
51,2025-01-11,Coffee,145,28,117,20,Default Supplier
52,2025-01-11,Tea,85,35,50,15,Default Supplier
53,2025-01-11,Sandwich,126,28,98,40,Default Supplier
54,2025-01-11,Burger,50,20,30,60,Default Supplier
55,2025-01-11,Juice,116,45,71,30,Default Supplier
56,2025-01-12,Coffee,109,76,33,20,Default Supplier
57,2025-01-12,Tea,66,44,22,15,Default Supplier
58,2025-01-12,Sandwich,130,101,29,40,Default Supplier
59,2025-01-12,Burger,72,50,22,60,Default Supplier
60,2025-01-12,Juice,95,39,56,30,Default Supplier
61,2025-01-13,Coffee,116,64,52,20,Default Supplier
62,2025-01-13,Tea,120,59,61,15,Default Supplier
63,2025-01-13,Sandwich,60,20,40,40,Default Supplier
64,2025-01-13,Burger,89,29,60,60,Default Supplier
65,2025-01-13,Juice,94,29,65,30,Default Supplier
66,2025-01-14,Coffee,148,109,39,20,Default Supplier
67,2025-01-14,Tea,59,25,34,15,Default Supplier
68,2025-01-14,Sandwich,114,93,21,40,Default Supplier
69,2025-01-14,Burger,117,85,32,60,Default Supplier
70,2025-01-14,Juice,125,102,23,30,Default Supplier
71,2025-01-15,Coffee,69,67,2,20,Default Supplier
72,2025-01-15,Tea,89,70,19,15,Default Supplier
73,2025-01-15,Sandwich,92,21,71,40,Default Supplier
74,2025-01-15,Burger,75,29,46,60,Default Supplier
75,2025-01-15,Juice,134,99,35,30,Default Supplier
76,2025-01-16,Coffee,146,97,49,20,Default Supplier
77,2025-01-16,Tea,126,104,22,15,Default Supplier
78,2025-01-16,Sandwich,64,60,4,40,Default Supplier
79,2025-01-16,Burger,149,37,112,60,Default Supplier
80,2025-01-16,Juice,89,53,36,30,Default Supplier
81,2025-01-17,Coffee,86,48,38,20,Default Supplier
82,2025-01-17,Tea,107,97,10,15,Default Supplier
83,2025-01-17,Sandwich,76,42,34,40,Default Supplier
84,2025-01-17,Burger,134,70,64,60,Default Supplier
85,2025-01-17,Juice,107,41,66,30,Default Supplier
86,2025-01-18,Coffee,123,73,50,20,Default Supplier
87,2025-01-18,Tea,101,90,11,15,Default Supplier
88,2025-01-18,Sandwich,77,46,31,40,Default Supplier
89,2025-01-18,Burger,71,39,32,60,Default Supplier
90,2025-01-18,Juice,94,30,64,30,Default Supplier
91,2025-01-19,Coffee,142,77,65,20,Default Supplier
92,2025-01-19,Tea,68,33,35,15,Default Supplier
93,2025-01-19,Sandwich,147,57,90,40,Default Supplier
94,2025-01-19,Burger,82,54,28,60,Default Supplier
95,2025-01-19,Juice,113,85,28,30,Default Supplier
96,2025-01-20,Coffee,85,40,45,20,Default Supplier
97,2025-01-20,Tea,56,21,35,15,Default Supplier
98,2025-01-20,Sandwich,105,43,62,40,Default Supplier
99,2025-01-20,Burger,124,69,55,60,Default Supplier
100,2025-01-20,Juice,62,58,4,30,Default Supplier
101,2025-01-21,Coffee,142,60,82,20,Default Supplier
102,2025-01-21,Tea,55,54,1,15,Default Supplier
103,2025-01-21,Sandwich,130,68,62,40,Default Supplier
104,2025-01-21,Burger,104,23,81,60,Default Supplier
105,2025-01-21,Juice,82,69,13,30,Default Supplier
106,2025-01-22,Coffee,66,47,19,20,Default Supplier
107,2025-01-22,Tea,109,23,86,15,Default Supplier
108,2025-01-22,Sandwich,114,104,10,40,Default Supplier
109,2025-01-22,Burger,145,97,48,60,Default Supplier
110,2025-01-22,Juice,88,75,13,30,Default Supplier
111,2025-01-23,Coffee,67,39,28,20,Default Supplier
112,2025-01-23,Tea,63,58,5,15,Default Supplier
113,2025-01-23,Sandwich,138,79,59,40,Default Supplier
114,2025-01-23,Burger,143,56,87,60,Default Supplier
115,2025-01-23,Juice,56,34,22,30,Default Supplier
116,2025-01-24,Coffee,120,112,8,20,Default Supplier
117,2025-01-24,Tea,137,107,30,15,Default Supplier
118,2025-01-24,Sandwich,116,28,88,40,Default Supplier
119,2025-01-24,Burger,90,32,58,60,Default Supplier
120,2025-01-24,Juice,61,51,10,30,Default Supplier
121,2025-01-25,Coffee,149,145,4,20,Default Supplier
122,2025-01-25,Tea,137,36,101,15,Default Supplier
123,2025-01-25,Sandwich,129,53,76,40,Default Supplier
124,2025-01-25,Burger,58,22,36,60,Default Supplier
125,2025-01-25,Juice,85,38,47,30,Default Supplier
126,2025-01-26,Coffee,75,24,51,20,Default Supplier
127,2025-01-26,Tea,91,25,66,15,Default Supplier
