sale_id,date_of_sale,item_name,category,quantity_sold,unit_price,payment_mode,customer_type,total_amount
1,2025-01-01,Coffee,Beverage,21,30,Cash,Staff,630
2,2025-01-01,Tea,Beverage,6,25,Card,Student,150
3,2025-01-01,Sandwich,Snacks,23,50,UPI,Staff,1150
4,2025-01-01,Burger,Snacks,28,70,Card,Student,1960
5,2025-01-01,Juice,Beverage,10,40,Card,Student,400
6,2025-01-02,Coffee,Beverage,20,30,Card,Student,600
7,2025-01-02,Tea,Beverage,16,25,Card,Student,400
8,2025-01-02,Sandwich,Snacks,7,50,UPI,Staff,350
9,2025-01-02,Burger,Snacks,24,70,Card,Staff,1680
10,2025-01-02,Juice,Beverage,27,40,UPI,Student,1080
11,2025-01-03,Coffee,Beverage,28,30,Card,Staff,840
12,2025-01-03,Tea,Beverage,8,25,Card,Staff,200
13,2025-01-03,Sandwich,Snacks,6,50,UPI,Staff,300
14,2025-01-03,Burger,Snacks,7,70,Card,Staff,490
15,2025-01-03,Juice,Beverage,16,40,Card,Staff,640
16,2025-01-04,Coffee,Beverage,10,30,Cash,Student,300
17,2025-01-04,Tea,Beverage,6,25,Cash,Staff,150
18,2025-01-04,Sandwich,Snacks,9,50,Cash,Student,450
19,2025-01-04,Burger,Snacks,20,70,UPI,Staff,1400
20,2025-01-04,Juice,Beverage,23,40,Card,Student,920
21,2025-01-05,Coffee,Beverage,9,30,UPI,Student,270
22,2025-01-05,Tea,Beverage,20,25,UPI,Student,500
23,2025-01-05,Sandwich,Snacks,11,50,Cash,Staff,550
24,2025-01-05,Burger,Snacks,5,70,Cash,Staff,350
25,2025-01-05,Juice,Beverage,29,40,Card,Staff,1160
26,2025-01-06,Coffee,Beverage,26,30,UPI,Student,780
27,2025-01-06,Tea,Beverage,8,25,Cash,Staff,200
28,2025-01-06,Sandwich,Snacks,23,50,Card,Student,1150
29,2025-01-06,Burger,Snacks,24,70,UPI,Student,1680
30,2025-01-06,Juice,Beverage,6,40,Cash,Staff,240
31,2025-01-07,Coffee,Beverage,13,30,Cash,Staff,390
32,2025-01-07,Tea,Beverage,19,25,Card,Student,475
33,2025-01-07,Sandwich,Snacks,28,50,Card,Staff,1400
34,2025-01-07,Burger,Snacks,11,70,Cash,Staff,770
35,2025-01-07,Juice,Beverage,28,40,Cash,Staff,1120
36,2025-01-08,Coffee,Beverage,17,30,Cash,Staff,510
37,2025-01-08,Tea,Beverage,25,25,Card,Staff,625
38,2025-01-08,Sandwich,Snacks,20,50,Cash,Staff,1000
39,2025-01-08,Burger,Snacks,17,70,Cash,Staff,1190
40,2025-01-08,Juice,Beverage,10,40,Cash,Staff,400
41,2025-01-09,Coffee,Beverage,6,30,UPI,Staff,180
42,2025-01-09,Tea,Beverage,11,25,Cash,Student,275
43,2025-01-09,Sandwich,Snacks,16,50,Card,Staff,800
44,2025-01-09,Burger,Snacks,24,70,UPI,Staff,1680
45,2025-01-09,Juice,Beverage,26,40,Cash,Student,1040
46,2025-01-10,Coffee,Beverage,8,30,Cash,Staff,240
47,2025-01-10,Tea,Beverage,12,25,Card,Student,300
48,2025-01-10,Sandwich,Snacks,19,50,Card,Staff,950
49,2025-01-10,Burger,Snacks,7,70,Cash,Staff,490
